tweet_id,tweet_text,fecha_creacion,num_likes,num_retweets,idioma_original,usuario,texto_limpio,idioma_confirmado,longitud_texto,es_retweet,num_hashtags,num_exclamaciones,contiene_ayuda
914336887309037568,Donald Trump Blames Puerto Ricans for Not Being Able &amp;apos;to Get Their Workers to Help&amp;apos; After Hurricane Maria https://t.co/WwdJgop7dC,2017-10-01 03:51:16+00:00,0,0,en,iTruck_NEWS,donald trump blames puerto ricans for not being able amp apos to get their workers to help amp apos after hurricane maria,en,121,0,0,0,1
914336905092829186,RT @KurtSchlichter: ATTENTION: Lying media... https://t.co/IXFHCDnEkm,2017-10-01 03:51:20+00:00,0,251,en,ChooChooLife,rt attention lying media,en,24,1,0,0,0
914336907211034624,RT @Reuters: Factbox: Relief efforts in Puerto Rico after Hurricane Maria https://t.co/u9dhvDnD64 https://t.co/jD7CtFNaN9,2017-10-01 03:51:20+00:00,0,58,en,The3Buckleys,rt factbox relief efforts in puerto rico after hurricane maria,en,62,1,0,0,0
914336926160887810,RT @iCyclone: .@CarmenYulinCruz Your courage and toughness in the face of #Hurricane #MARIA is inspiring. Keep fighting the good fight. ❤️,2017-10-01 03:51:25+00:00,0,99,en,swannyenitpr,rt your courage and toughness in the face of hurricane maria is inspiring keep fighting the good fight red heart,en,112,1,2,0,0
914336932502671362,Shout out to @Walgreens for caring about the victims of hurricane Maria!,2017-10-01 03:51:26+00:00,2,1,en,Kandy2021,shout out to for caring about the victims of hurricane maria,en,60,0,0,1,0
914336934201315329,RT @dhume: @PatrickFrench Brits are spoilt. Complain about a politician who can recite Kipling by heart. Meanwhile in America: https://t.co…,2017-10-01 03:51:27+00:00,0,35,en,AshuHirulkar,rt brits are spoilt complain about a politician who can recite kipling by heart meanwhile in america,en,100,1,0,0,0
914336939100254208,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,2017-10-01 03:51:28+00:00,0,721,en,YomarElMaja,rt this year old boy in puerto rico is raising funds for solar lamps to help people affected by hurricane maria,en,111,1,0,0,1
914336960214335488,RT @CathyMcG2: @AlGiordano @Karoli Here ya go: https://t.co/SNDJcAk89j,2017-10-01 03:51:33+00:00,0,39,en,nyc118,rt here ya go,en,13,1,0,0,0
914336962110205952,RT @CBPFlorida: U.S. Customs and Border Protection Air and Marine Operations delivering supplies supporting response efforts in Puerto Rico…,2017-10-01 03:51:33+00:00,0,1581,en,Bigdpnick,rt u s customs and border protection air and marine operations delivering supplies supporting response efforts in puerto rico,en,125,1,0,0,0
914336969479483393,"Curt Schilling in Puerto Rico: Trump Provided Speedy Relief, But Execution on the Ground 'Horrifying' https://t.co/uIEdWNzpqA",2017-10-01 03:51:35+00:00,0,0,en,concession1,curt schilling in puerto rico trump provided speedy relief but execution on the ground horrifying,en,97,0,0,0,0
914336974114353153,Donald Trump Blames Puerto Ricans for Not Being Able &amp;apos;to Get Their Workers to Help&amp;apos; After Hurricane Maria https://t.co/o3mAPwJLpF,2017-10-01 03:51:36+00:00,0,0,en,iTruck_NEWS,donald trump blames puerto ricans for not being able amp apos to get their workers to help amp apos after hurricane maria,en,121,0,0,0,1
914336977926864896,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/Gz4uKAmffU https://t.co/hknLTymHsf,2017-10-01 03:51:37+00:00,0,80,en,SW_Crisis,rt anti trump chef feeds thousands in puerto rico after hurricane maria,en,71,1,0,0,0
914336993122881537,If your want facts @realDonaldTrump here they https://t.co/LGrKtDdYjo didn't respond fast enough or strong enough: https://t.co/EQiiUxRNlR https://t.co/4SWvepDPNB,2017-10-01 03:51:41+00:00,1,0,en,TGAND4,if your want facts here they didn t respond fast enough or strong enough,en,72,0,0,0,0
