tweet_id,tweet_text,fecha_creacion,num_likes,num_retweets,idioma,nombre_usuario,texto_limpio,longitud_tweet,num_palabras,es_retweet,contiene_url,num_menciones,num_hashtags,num_exclamaciones,categoria_longitud,contiene_ayuda,dia_semana,hora_dia
914328247613173760,"#TrumpsKatrina #TrumpsKatrina #TrumpsKatrina #TrumpsKatrina #TrumpsKatrina #TrumpsKatrina #TrumpsKatrina #TrumpsKatrina #TrumpsKatrina
Enjoy https://t.co/AVssPi75u2",2017-10-01 03:16:56+00:00,1,1,en,ablnk,trumpskatrina trumpskatrina trumpskatrina trumpskatrina trumpskatrina trumpskatrina trumpskatrina trumpskatrina trumpskatrina enjoy,165,10,0,1,0,9,0,Medio,0,Sunday,3
914328249689427968,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",2017-10-01 03:16:56+00:00,0,639,en,Por_Ti_7,lady gaga will be donating m to relief efforts for hurricane harvey irma josé maria and the mexico city earthquake htt,140,21,1,0,1,0,0,Medio,1,Sunday,3
914328254785425409,RT @USNavy: .@DeptofDefense accelerates Hurricane #Maria relief and response efforts in #PuertoRico - https://t.co/W4pzRGRhPX https://t.co/…,2017-10-01 03:16:57+00:00,0,285,en,LindaCh75954370,accelerates hurricane maria relief and response efforts in puertorico,140,9,1,1,2,2,0,Medio,1,Sunday,3
914328256538726400,RT @Six_Banal: Puerto Rico largely ignored by the media in the wake of Hurricane Maria devastation,2017-10-01 03:16:58+00:00,0,1,en,Robert_Banal,puerto rico largely ignored by the media in the wake of hurricane maria devastation,98,14,1,0,1,0,0,Corto,0,Sunday,3
914328272946810880,RT @common: Watch this. Praying for our brothers + sisters in Puerto Rico. https://t.co/F7rjrNVpx5,2017-10-01 03:17:02+00:00,0,379,en,ZachRongers,watch this praying for our brothers sisters in puerto rico,98,10,1,1,1,0,0,Corto,0,Sunday,3
914328278868955137,"RT @TIME: 'As if Puerto Rico did not exist.' Hurricane Maria is a reminder of 'second-class' status for some
https://t.co/EAqTx54oPz",2017-10-01 03:17:03+00:00,0,226,en,kapilt41,as if puerto rico did not exist hurricane maria is a reminder of second class status for some,133,18,1,1,1,0,0,Medio,0,Sunday,3
914328281742266368,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,2017-10-01 03:17:04+00:00,0,3526,en,simeyowen,we can t forget about the us virgin islands back to back storms left many struggling to recover they also need our help,140,23,1,0,1,0,0,Medio,1,Sunday,3
914328290743275520,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,2017-10-01 03:17:06+00:00,0,3526,en,velezpath,we can t forget about the us virgin islands back to back storms left many struggling to recover they also need our help,140,23,1,0,1,0,0,Medio,1,Sunday,3
914328296036425728,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",2017-10-01 03:17:07+00:00,0,4584,en,MjbBlass,harrowing drone footage shows a neighborhood of san juan puerto rico in aftermath of hurricane maria ghost town covered in sew,140,21,1,0,1,0,0,Medio,0,Sunday,3
914328299144450048,[ https://t.co/EFkLm30MSl ] Hurricane Maria power outage puts old… https://t.co/joeJCpQvth | https://t.co/lx1D4sXDRF,2017-10-01 03:17:08+00:00,0,0,en,llmrt3,hurricane maria power outage puts old,116,6,0,1,0,0,0,Medio,0,Sunday,3
914328300822114305,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,2017-10-01 03:17:08+00:00,0,3526,en,Lavender4CC,we can t forget about the us virgin islands back to back storms left many struggling to recover they also need our help,140,23,1,0,1,0,0,Medio,1,Sunday,3
914328304504786944,"@ananavarro @stuknderplahoma BREAKING NEWS
To get #Trump's attention, #USNavy refits #PuertoRicoRelief ship &amp; invites him to play golf!

#HurricaneMaria #MayorOfSanJuan https://t.co/2ska9HVfQt",2017-10-01 03:17:09+00:00,0,0,en,Meiguo_nan,breaking news to get trump s attention usnavy refits puertoricorelief ship amp invites him to play golf hurricanemaria mayorofsanjuan,199,19,0,1,2,5,1,Medio,1,Sunday,3
914328307834880001,Thank you for the REAL News! https://t.co/mUb0aEC5kk,2017-10-01 03:17:10+00:00,0,0,en,DeploraBear,thank you for the real news,52,6,0,1,0,0,1,Corto,0,Sunday,3
914328316995362816,Puerto Rico's cop telling the truth about Hurricane Maria's aid https://t.co/XD1QMqDPbO via @YouTube,2017-10-01 03:17:12+00:00,0,0,en,dinkersdan1,puerto rico s cop telling the truth about hurricane maria s aid via,100,13,0,1,1,0,0,Medio,1,Sunday,3
914328323081125888,@realDonaldTrump ARE YOU REALLY THAT STUPID?! Of course you are. You took way too long to respond to #HurricaneMaria and too long to be viewed as a good president. The people of #PuertoRico need assistance and your dumb ass did NOT do enough.,2017-10-01 03:17:14+00:00,0,0,en,itssonoisy,are you really that stupid of course you are you took way too long to respond to hurricanemaria and too long to be viewed as a good president the people of puertorico need assistance and your dumb ass did not do enough,242,42,0,0,1,2,1,Largo,0,Sunday,3
914328325958590464,Almost a week and a half later from Hurricane Maria and I keep finding images like these that makes me want to... https://t.co/XzivZnQigp,2017-10-01 03:17:14+00:00,0,0,en,BluebirdPatch,almost a week and a half later from hurricane maria and i keep finding images like these that makes me want to,137,22,0,1,0,0,0,Medio,0,Sunday,3
914328336725311488,"RT @FiveThirtyEight: Compared to the other natural disasters of the past few weeks, Hurricane Maria has been relatively ignored. https://t.…",2017-10-01 03:17:17+00:00,0,207,en,lkdavolos,compared to the other natural disasters of the past few weeks hurricane maria has been relatively ignored,140,17,1,1,1,0,0,Medio,0,Sunday,3
914328340114362373,"RT @EricHolthaus: In just hours, Maria wiped out more than one-fifth of Puerto Rico's economy. No other modern weather event compares. http…",2017-10-01 03:17:18+00:00,0,1227,en,Dullahmwinyi1,in just hours maria wiped out more than one fifth of puerto rico s economy no other modern weather event compares http,140,22,1,1,1,0,0,Medio,0,Sunday,3
914328358221078528,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",2017-10-01 03:17:22+00:00,0,639,en,fairyofjeon,lady gaga will be donating m to relief efforts for hurricane harvey irma josé maria and the mexico city earthquake htt,140,21,1,0,1,0,0,Medio,1,Sunday,3
914328362604052480,RT @jodi_mohrmann: #WATCH: #Military working 24/7 to get emergency supplies to residents #PuertoRico #HurricaneMaria #ReliefEfforts @GoAirG…,2017-10-01 03:17:23+00:00,0,67,en,LoveLiberty1234,watch military working to get emergency supplies to residents puertorico hurricanemaria reliefefforts,140,12,1,0,2,5,0,Medio,1,Sunday,3
914328372234223616,RT @ASE: Trump blaming Puerto Rico &amp; its debt for the devastation caused by Hurricane Maria is like blaming the rape victim.,2017-10-01 03:17:25+00:00,0,39,en,heavymetalpress,trump blaming puerto rico amp its debt for the devastation caused by hurricane maria is like blaming the rape victim,128,20,1,0,1,0,0,Medio,0,Sunday,3
914328386977243136,@justinjm1 Hurricane Irma? Do they perchance mean Maria?,2017-10-01 03:17:29+00:00,0,0,en,screenslaver,hurricane irma do they perchance mean maria,56,7,0,0,1,0,0,Corto,0,Sunday,3
914328395328008192,"@rimarthag @Yonat_a @ianbremmer GENOCIDE the most heinous act against humanity is unfolding under the distraction of accessibility. US citizens of 🇵🇷 are victims of Hurricane Maria but they’ll die by GENOCIDE! Maria the ""perfect storm” for Trump to unleash his Master Plan! PURE EVIL resides in White House!",2017-10-01 03:17:31+00:00,0,0,en,MelijoMelijo,genocide the most heinous act against humanity is unfolding under the distraction of accessibility us citizens of are victims of hurricane maria but they ll die by genocide maria the perfect storm for trump to unleash his master plan pure evil resides in white house,307,45,0,0,3,0,3,Largo,0,Sunday,3
914328409857290241,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",2017-10-01 03:17:34+00:00,0,4584,en,yubrybur,harrowing drone footage shows a neighborhood of san juan puerto rico in aftermath of hurricane maria ghost town covered in sew,140,21,1,0,1,0,0,Medio,0,Sunday,3
914328417100804096,"@OpTheResistance @realDonaldTrump https://t.co/ILAxOf3hom  
^^FEMA time-line... pre-positioned before the storm. If you need more, let me know... I've seen other reports confirming the same. Peace. #PuertoRicoSeLevanta",2017-10-01 03:17:36+00:00,2,0,en,Latina_N_Right,fema time line pre positioned before the storm if you need more let me know i ve seen other reports confirming the same peace puertoricoselevanta,219,25,0,1,2,1,0,Largo,0,Sunday,3
914328418682048512,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",2017-10-01 03:17:37+00:00,0,639,en,Ruelas3Andrea,lady gaga will be donating m to relief efforts for hurricane harvey irma josé maria and the mexico city earthquake htt,140,21,1,0,1,0,0,Medio,1,Sunday,3
914328420158509056,What every American needs to know about Puerto Rico’s hurricane disaster https://t.co/E8SzZU6kJU via @voxdotcom,2017-10-01 03:17:37+00:00,0,0,en,johnmac13,what every american needs to know about puerto rico s hurricane disaster via,111,13,0,1,1,0,0,Medio,0,Sunday,3
914328422553231360,"RT @FiveThirtyEight: Compared to the other natural disasters of the past few weeks, Hurricane Maria has been relatively ignored. https://t.…",2017-10-01 03:17:37+00:00,0,207,en,finafyr,compared to the other natural disasters of the past few weeks hurricane maria has been relatively ignored,140,17,1,1,1,0,0,Medio,0,Sunday,3
914328431147569153,RT @iCyclone: My #Hurricane #MARIA video from ground zero in #PuertoRico. A truly ferocious cyclone I'll always remember. Notes:  https://t…,2017-10-01 03:17:40+00:00,0,722,en,Diegoinsignares,my hurricane maria video from ground zero in puertorico a truly ferocious cyclone i ll always remember notes,140,18,1,1,1,3,0,Medio,0,Sunday,3
914328438181330945,RT @iCyclone: My #Hurricane #MARIA video from ground zero in #PuertoRico. A truly ferocious cyclone I'll always remember. Notes:  https://t…,2017-10-01 03:17:41+00:00,0,722,en,NadiaVHunte,my hurricane maria video from ground zero in puertorico a truly ferocious cyclone i ll always remember notes,140,18,1,1,1,3,0,Medio,0,Sunday,3
914328442266685441,RT @StressFreeKids: #Media Coverage on Natural Disasters Scares Kids https://t.co/ess2c6PXwH #hurricaneIrma #hurricaneHarvey #hurricaneMari…,2017-10-01 03:17:42+00:00,0,3,en,TherapySquare,media coverage on natural disasters scares kids hurricaneirma hurricaneharvey hurricanemari,140,10,1,1,1,4,0,Medio,0,Sunday,3
914328444502241280,RT @ChiefPentSpox: .@DeptofDefense #HurricaneMaria #ReliefEfforts continue 24/7 in #PuertoRico &amp; #VirginIslands. For the latest visit: http…,2017-10-01 03:17:43+00:00,0,407,en,NoCaliphate2,hurricanemaria reliefefforts continue in puertorico amp virginislands for the latest visit http,144,12,1,1,2,4,0,Medio,1,Sunday,3
914328452916015104,"RT @ramonashelburne: There are those who inexplicably don't believe how bad the crisis in Puerto Rico is. I hope they see this. 
https://t.…",2017-10-01 03:17:45+00:00,0,158,en,Vespae,there are those who inexplicably don t believe how bad the crisis in puerto rico is i hope they see this,141,21,1,1,1,0,0,Medio,0,Sunday,3
914328453263978496,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/mCmmqC3OIM https://t.co/PotZ6VQdMp,2017-10-01 03:17:45+00:00,0,122,en,SandyKAlano,anti trump chef feeds thousands in puerto rico after hurricane maria,129,11,1,1,1,0,0,Medio,0,Sunday,3
914328458351857665,"RT @FiveThirtyEight: Compared to the other natural disasters of the past few weeks, Hurricane Maria has been relatively ignored. https://t.…",2017-10-01 03:17:46+00:00,0,207,en,targteacher,compared to the other natural disasters of the past few weeks hurricane maria has been relatively ignored,140,17,1,1,1,0,0,Medio,0,Sunday,3
914328458624471040,"RT @USCGSoutheast: .@USCG crews worked together with the @RedCross, @fema, and members of local #police, #fire and #government to distribut…",2017-10-01 03:17:46+00:00,0,4642,en,EgleeGV,crews worked together with the and members of local police fire and government to distribut,140,15,1,0,4,3,0,Medio,0,Sunday,3
914328469642907649,"RT @USCGSoutheast: .@USCG crews worked together with the @RedCross, @fema, and members of local #police, #fire and #government to distribut…",2017-10-01 03:17:49+00:00,0,4642,en,ClemensRobin,crews worked together with the and members of local police fire and government to distribut,140,15,1,0,4,3,0,Medio,0,Sunday,3
914328477674897408,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",2017-10-01 03:17:51+00:00,0,639,en,kendallongg,lady gaga will be donating m to relief efforts for hurricane harvey irma josé maria and the mexico city earthquake htt,140,21,1,0,1,0,0,Medio,1,Sunday,3
914328485132472320,"RT @CCCINNC: @toddstarnes @CNN TY! On behalf of those actually helping! Not that the Mayor of San Juan is recognizing their efforts...
http…",2017-10-01 03:17:52+00:00,0,3,en,mincgirl,ty on behalf of those actually helping not that the mayor of san juan is recognizing their efforts http,141,19,1,1,3,0,2,Medio,1,Sunday,3
914328489213485056,Basically our president just does not like brown people #HurricaneMaria #PuertoRicoRelief #VirginIslandsRelief... https://t.co/nGuj6LG1tu,2017-10-01 03:17:53+00:00,2,2,en,mikecarberry,basically our president just does not like brown people hurricanemaria puertoricorelief virginislandsrelief,137,12,0,1,0,3,0,Medio,1,Sunday,3
